dfnm,addr,tel
중구장애인복지관 주간보호센터,인천광역시 중구 매소홀로 10,032-880-2400
연수허브주간보호센터,인천광역시 연수구 선학로 14,032-817-2091
무지개주간보호센터,인천광역시 중구 우현로62번길 38-3,032-762-3303
늘푸른동산주간보호센터,인천광역시 남동구 담방서로23번길 17,032-472-4031
샛별주간보호센터,인천광역시 남동구 청능대로595번길 17,032-435-1147
노틀담복지관 주간보호센터,인천광역시 계양구 계양산로35번길 12-37,032-542-3711
바다의별주간보호센터,인천광역시 남동구 남촌동로16번길 15-12,032-468-4647
늘푸른샘주간보호센터,인천광역시 미추홀구 인하로405번길 7,032-427-6929
신장장애인주간보호센터,인천광역시 미추홀구 석정로423번길 3,032-868-8806
베데스다주간보호센터,인천광역시 부평구 부흥로334번길 37,070-7562-9125
태화인천장애인주간보호센터,인천광역시 서구 심곡로124번길 10,032-568-3247
동구한마음장애인 주간보호센터,인천광역시 동구 만석로 53,032-880-9538
느티나무 주간보호센터,인천광역시 서구 심곡로100번길 8-11,070-8633-8246
영종 주간보호센터,인천광역시 중구 영종해안북로 1000-26,032-464-7179
사랑터 주간보호센터,인천광역시 계양구 장기로 26,032-546-4800
부평장애인복지관 주간보호센터,인천광역시 부평구 일신로 25,032-512-9200
경인의료재활센터병원,인천광역시 연수구 원인재로 263,032-899-4595
마리아 주간보호센터,인천광역시 강화군 해란길 61,032-937-9075
나래주간보호센터,인천광역시 부평구 부영로 161,032-513-9300
강화장애인복지관 주간보호센터,인천광역시 강화군 충렬사로 63,032-934-8464
서구장애인복지관 주간보호센터,인천광역시 서구 드림로 284-8,032-569-1244
해내기주간보호센터,인천광역시 연수구 앵고개로 130,032-833-3051
징검다리주간보호센터,인천광역시 미추홀구 석정로102번길 11,032-888-6674
꿈이룸 주간보호센터,인천광역시 부평구 안남로 62,032-818-2094
해늘주간보호센터,인천광역시 부평구 화랑북로 35-4,032-506-6596
민들레장애인 자립생활지원센터,인천광역시 계양구 계산새로 71,032-542-9294
해도두리 주간보호센터,인천광역시 계양구 장제로 708,032-542-1287
사랑&나눔주간보호센터,인천광역시 연수구 선학로 14,032-818-2075
울림장애인 자립생활지원센터,인천광역시 부평구 부평대로167번길 42,032-514-0450
하늘고운주간보호센터,인천광역시 남동구 경인로 744,032-508-2097
지적장애인 지원센터,인천광역시 남동구 용천로 208,032-888-8369
남구장애인복지관 주간보호센터,인천광역시 미추홀구 경원대로 714,032-426-1382
미추홀장애아동주간보호센터,인천광역시 미추홀구 염창로 97,032-876-8183
장애인 보조기구 A/S센터,인천광역시 남동구 용천로 208,
경인장애인 자립생활지원센터,인천광역시 계양구 주부토로 541,032-511-8006
시각장애인복지관 주간보호센터,인천광역시 미추홀구 한나루로357번길 105-19,032-876-3500
함께걸음인천장애인자립생활지원센터,인천광역시 남동구 경인로 611,032-428-6039
미래장애인자립생활지원센터,인천광역시 연수구 용담로 111,032-813-0068
연수구장애인주간보호센터,인천광역시 연수구 청량로185번길 31,032-749-6893
동그라미 주간보호센터,인천광역시 남동구 인주대로 819,032-464-7179
누리장애인 자립생활지원센터,인천광역시 남동구 하촌로 26,070-7878-5130
아카펠라주간보호센터,인천광역시 부평구 평천로 319-5,032-517-0630
장애인가족지원센터(남부),인천광역시 부평구 대정로 66,032-719-7882
장애인 재활지원센터,인천광역시 남동구 용천로 208,032-438-0420
예원 주간보호센터,인천광역시 계양구 효서로 92,032-553-1220
큰솔장애인자립생활지원센터,인천광역시 서구 심곡로 81,032-564-1015
(시각)혜인주간보호센터,인천광역시 부평구 마장로 24,032-330-1307
인천장애인자립생활지원센터,인천광역시 미추홀구 염창로 46,032-886-4880
성동주간보호센터,인천광역시 부평구 경인로 880,032-522-2984
인천재활의원,인천광역시 미추홀구 인주대로 290,032-861-0101
서구장애인 자립생활지원센터,인천광역시 서구 승학로 515,032-563-8664
인천발달장애인자립생활지원센터,인천광역시 부평구 마장로 82,070-4098-5528
