fhnm,tel,addr
 인하대학교의과대학부속병원,032-890-2114, 인천광역시 중구 인항로 27
 눈편한안과의원,032-762-0088, 인천광역시 중구 우현로 75
 인하국제치과의원(인하국제의료센터내),032-206-1920, 인천광역시 중구 공항로424번길 84
 인하국제의원(인하국제의료센터),032-206-1800, 인천광역시 중구 공항로424번길 84
 인천국제공항 치과의원,032-743-3119, 인천광역시 중구 공항로 272
 인천국제공항의원(인천공항의료센터),032-743-3119, 인천광역시 중구 공항로 272
 인천국제공항제2공항의원,032-743-7080,인천 중구 제2터미널대로 444
 힐락암 요양병원,032-746-8100, 인천광역시 중구 영종대로 106
 연세오케이공항의원,032-751-6119, 인천광역시 중구 공항로 424번길 66
 (의) 성수의료재단 인천백병원,032-280-8161, 인천광역시 동구 샛골로 214
 인천광역시의료원,032-580-6552, 인천광역시 동구 방축로 217
 인천재활의원,032-861-0107, 인천광역시 미추홀구 인주대로 290
 바로병원,032-722-8585, 인천광역시 미추홀구 인주대로 458
 중앙메디칼의원,032-866-0800, 인천광역시 미추홀구 인주대로 282
 아이소망산부인과의원,032-883-3643, 인천광역시 미추홀구 미추로 56
 현대유비스병원,032-888-7575, 인천광역시 미추홀구 독배로 503
 (사) 한국건강관리협회 인천광역시지부,032-884-7131, 인천광역시 미추홀구 독배로 500
 일미치과의원,032-441-3379, 인천광역시 미추홀구 경인로 429
 (의) 아인의료재단 서울여성병원,032-247-2000, 인천광역시 미추홀구 경원대로 771
 광혜원한방병원,032-874-7500, 인천광역시 미추홀구 염창로 63
 새건병원,032-427-2800, 인천광역시 미추홀구 경인로 430
 나누리병원(주안),1688-9797, 인천광역시 미추홀구 인주대로 485
 더블유여성병원,032-451-0000, 인천광역시 미추홀구 인주대로 400
 송도연세정형외과의원,032-832-5488, 인천광역시 연수구 해돋이로 167
 플러스병원,032-859-8000, 인천광역시 연수구 컨벤시아대로130번길 14
 SnC시카고치과병원,032-777-1122, 인천광역시 연수구 컨벤시아대로 81
 (의) 정강의료재단 JK위드미NEAT의원,032-715-7991, 인천광역시 연수구 컨벤시아대로 165
 연수김안과의원,032-817-3487, 인천광역시 연수구 컨벤시아대로 165
 (의) 상원의료재단 인천힘찬병원(연수), 1899-2220, 인천광역시 연수구 용담로 118
 (의) 루가의료재단 지안의원,032-830-2700, 인천광역시 연수구 센트럴로 263
 (의) 나사렛의료재단 나사렛국제병원,032-899-9999, 인천광역시 연수구 먼우금로 98
 송도외과,032-230-5500, 인천광역시 연수구 컨벤시아대로 165
 오네스타의원,032-724-8200, 인천광역시 연수구 송도국제대로 157
 비엘에스의원,032-422-1755, 인천광역시 연수구 컨벤시아대로 81
 22세기서울치과병원,032-858-2080, 인천광역시 연수구 컨벤시아대로 69
 나래병원,032-821-0033, 인천광역시 연수구 청능대로 69
 송도퍼스트치과의원,032-831-2812, 인천광역시 연수구 컨벤시아대로 165
 송도비앤미의원,032-834-5011, 인천광역시 연수구 센트럴로 160
 삼성드림이비인후과의원,032-224-0365, 인천광역시 연수구 컨벤시아대로 165
 클렌피부과의원,032-715-4100, 인천광역시 연수구 신송로 153
 인천예치과의원,032-465-2870, 인천광역시 남동구 호구포로 818
 21세기병원,1588-2150, 인천광역시 남동구 정각로 2
 타미성형외과의원,032-441-2325, 인천광역시 남동구 인하로 497-5
 전병원,032-464-6181, 인천광역시 남동구 인주대로 845
 대찬병원,032-438-2027, 인천광역시 남동구 인주대로 590
 브래덤병원,032-456-7600, 인천광역시 남동구 예술로192번길 36
 길병원,032-460-3548, 인천광역시 남동구 남동대로774번길 21
 오라클피부과의원,032-434-5311, 인천광역시 남동구 인하로 489번길 10
 포도나무치과,032-421-2855, 인천광역시 남동구 예술로 198
 임팩트비뇨기과의원,1522-1975, 인천광역시 남동구 성말로 13번길 15
 모두병원,1588-0255, 인천광역시 남동구 논고개로 88
 프린스앤프린세스치과의원,032-258-2875, 인천광역시 남동구 남동대로 686
 정한의원,032-467-8275, 인천 남동구 담방로21번길 55
 서울아이비에프여성의원,032-716-6663, 인천광역시 남동구  인하로 507번길 63
 더한스메디의원,032-465-2004, 인천광역시 남동구 호구포로 870
 리엔장의원,032-432-3625, 인천광역시 남동구 인하로 489번길 4
 닥터에버스의원,032-425-2010, 인천광역시 남동구 인하로 507번길 24
 트루맨남성의원(인천점),032-424-7585, 인천광역시 남동구 인하로 507번길 4
 인천자생한방병원,1577-0077, 인천광역시 남동구 예술로 126
 나누리병원(부평),032-280-1109, 인천광역시 부평구 장제로 156
 (의) 한길의료재단 한길안과병원,032-503-3322, 인천광역시 부평구 부평대로 35
 원더이비인후과의원,032-330-2275, 인천광역시 부평구 부평대로 19-1
 가톨릭대학교 인천성모병원,032-280-6364, 인천광역시 부평구 동수로 56
 라이브치과의원,032-502-2279, 인천광역시 부평구 부평대로 52
 부평성모안과의원,032-528-7288, 인천광역시 부평구 경원대로 1373
