npnm,addr,tel
인일약국,중구 연안부두로 9(항동7가),883-9919
하늘그린약국,중구 신도시남로 137,752-3112
백제약국,"동구 화수로 18, 103호(송현동)",764-5747
인영약국,미추홀구 인하로 301-1(주안동),070-8874-7561
삼성온누리약국,"미추홀구 낙섬서로 4, 102호(용현동)",881-8171
별온누리약국,"연수구 하모니로 158, 송도타임스페이스 A-110,111,112호 (송도동)",0507-1475-9934
테라스파란문약국,"연수구 센트럴로 415, 힐스테이트 더테라스 판매시설S동 148호",833-6209
성약국,연수구 샘말로7번길 7(연수동),817-5575
연수버들약국,연수구 먼우금로 190(연수동),070-7543-8331
대산프라자약국,연수구 앵고개로246번길 10(동춘동),816-4531
송도제일약국,연수구 송도국제대로 157(송도동),817-8864
보광약국,남동구 경인로 586(간석동),427-9729
365행복약국,남동구 논고개로123번길 35(논현동),0507-1343-8184
이약국,남동구 백범로 275(간석동),439-4802
동암프라자약국,부평구 열우물로 50(십정동),421-8642
동광약국,부평구 부흥로 314-1(부평동),524-4990
365그랜드온누리약국,"부평구 마장로 314, 101호(산곡동)",0507-1396-3657
센타약국,"계양구 계산새로 93, 103호",552-1168
연세스마트약국,계양구 마장로 549,0507-1375-7231
보배약국,계양구 봉오대로 659(작전동),070-4090-3156
열린대학약국,계양구 장제로 728(작전동),541-1662
루원봄약국,"서구 봉오대로 255, 104~105호(가정동)",563-1486
가온약국,"서구 봉오재3로 90, 1층(가정동)",567-0879
검단아라태평양약국,"서구 이음대로 378, 109호(원당동)",561-7768
튼튼약국,중구 하늘중앙로195번길 11(중산동),752-8576
레몬약국,"서구 검단로 480, 115호(왕길동)",562-1088
수성당약국,미추홀구 경인로 344(주안동),866-6181
인천제일큰약국,계양구 장제로 789(계산동),543-5433
옥신온누리약국,서구 고래울로 29(가좌동),578-1329
메디피아약국,서구 완정로 172(마전동),562-0258
365마리나약국,"연수구 랜드마크로 110, 근린상가 115호(송도동)",858-1133
