sfnm,addr,facilities,tel
서부산단공원,인천광역시 서구 경서동 678일원,"족구장,야외운동기구",032-560-4800
장모루공원,인천광역시 서구 검암동 594-2일원,"배드민턴장,야외운동기구",032-560-4800
아랫말공원(경서4호),인천광역시 서구 경서동 760일원,"운동장,야외운동기구",032-560-4800
진포공원(경서1호),인천광역시 서구 경서동 719-1일원,"배드민턴장,야외운동기구",032-560-4800
중동공원,인천광역시 서구 검암동 613-5일원,"농구장,야외운동기구",032-560-4800
빈정공원,인천광역시 서구 검암동 681일원,"운동장,야외운동기구",032-560-4800
능내공원,인천광역시 서구 마전동 657-11일원,축구장,032-560-4800
검단1지구 1호 어린이공원,인천광역시 서구 마전동 907일원,농구장,032-560-4800
왕길공원,인천광역시 서구 왕길동 649-4일원,농구장,032-560-4800
종다리공원,인천광역시 서구 왕길동 641-13일원,농구장,032-560-4800
금호공원(오류지구 어린이공원),인천광역시 서구 오류동 760-3일원,농구장,032-560-4800
원당지구 1호공원,인천광역시 서구 원당동 811-2,"게이트볼장,야외운동기구",032-560-4800
당하지구3호 어린이공원,인천광역시 서구 당하동 1099-4일원,야외운동기구,032-560-4800
신석체육공원,인천광역시 서구 석남동 222일원,"축구장,족구장,풋살장,농구장",032-560-4800
신석체육공원,인천광역시 서구 석남동 222일원,"축구장,족구장,풋살장,농구장",032-560-4800
신석체육공원,인천광역시 서구 석남동 222일원,"축구장,족구장,풋살장,농구장",032-560-4800
신석체육공원,인천광역시 서구 석남동 222일원,"축구장,족구장,풋살장,농구장",032-560-4800
진주체육공원,인천광역시 서구 가좌동 30-130일원,"배드민턴장,테니스장,농구장",032-560-4800
진주체육공원,인천광역시 서구 가좌동 30-130일원,"배드민턴장,테니스장,농구장",032-560-4800
가좌공원,인천광역시 서구 가좌동 219일원,게이트볼장,032-560-4800
당하어린이공원,인천광역시 서구 당하동 1067-4일원,농구장,032-560-4800
감중공원,인천광역시 서구 가좌동 157일원,족구장,032-560-4800
청라1호공원,인천광역시 서구 경서동 673-19일원,"족구장,배드민턴장",032-560-4800
청라1호공원,인천광역시 서구 경서동 673-19일원,"족구장,배드민턴장",032-560-4800
경서근린공원,인천광역시 서구 경서동 996일원,"농구장,배드민턴장",032-560-4800
반월공원(나),인천광역시 서구 오류동 1656-4번지,"족구장,농구장",032-560-4800
한들방죽공원(라),인천광역시 서구 오류동 1665-2번지,다목적구장,032-560-4800
