snm,addr,facilities,homepage,tel
송림체육관,인천광역시 동구 염전로 30(송림6동 344),"주경기장,보조경기장,수영장,헬스장,스피닝실,휘트니스실",http://www.insiseol.or.kr/institution_guidance/songnim/index.asp,032-456-7800
문학박태환수영장,인천광역시 남구 매소홀로 618(문학동 537),"경영풀(10레인),다이빙풀,보조풀(6레인)",https://www.icmha.or.kr/,032-715-4224
열우물테니스,인천광역시 부평구 열우물로 164(십정동 100-1),"실내 테니스코트(4면),센터코트(1면),쇼우코트(1면),경기장 외부(14면)",http://www.icyum.or.kr/,032-715-6216
열우물스쿼시경기장,인천광역시 부평구 열우물로 164(십정동 100-1),"스쿼시 중계코트(1면),연습 예선코트(10면)",http://www.icyum.or.kr/,032-715-6215
강화고인돌체육관,인천광역시 강화군 강화읍 강화대로 603(국화리 46-2),"다목적 경기장(배드민턴,탁구,농구,풋살,각종 공연 및 행사 등 이용 가능)",http://www.insiseol.or.kr/institution_guidance/ganghwa/sub/use_koindol.asp,032-930-5700
강화아시아드BMX경기장,인천광역시 강화군 강화읍 강화대로 600(국화리 44-12),BMX 전용 모굴,http://www.insiseol.or.kr/institution_guidance/ganghwa/sub/use_bmx.asp,032-930-5700
계양체육관,인천광역시 계양구 봉오대로 855(서운동),"배드민턴 규격 공식경기장(배드민턴,배구,농구,핸드볼 등 활용 가능)",http://www.insiseol.or.kr/institution_guidance/gyeyang/introduction_core.asp,032-550-3500
계양아시아드양궁장,인천광역시 계양구 봉오대로 855(서운동),"양궁장,다목적체육시설(축구장 등 생활체육 활용 가능)",http://www.insiseol.or.kr/institution_guidance/gyeyang/introduction_core.asp,032-550-3500
남동체육관,인천광역시 남동구 소래로 500(수산동 602),체조경기장,http://www.icsports.or.kr/bbs/content.php?co_id=facility8,032-715-5173
남동아시아드럭비경기장,인천광역시 남동구 소래로 540(수산동 601),럭비경기장,http://www.icsports.or.kr/bbs/content.php?co_id=facility9,032-715-5173
선학체육관,인천광역시 연수구 경원대로 526(선학동 426),실내체육관,https://www.yeonsu.go.kr/culture/reservation/seonhak/reservation.asp,032-749-6941
선학하키경기장,인천광역시 연수구 경원대로 526(선학동 426),"주경기장(1면),보조경기장(1면)",http://www.icsports.or.kr/bbs/content.php?co_id=facility10,032-821-5636
